OTRN_ID,OTRN_PYRAID,OTRN_PYEAID,OTRN_TRNTYP,OTRN_TRNAMT,OTRN_TRNDAT
3000001,100071,200034,OUTFLOW,14573.16,2024-12-27
3000002,100077,200023,INFLOW,6769.63,2025-11-14
3000003,100086,200075,OUTFLOW,8284.73,2025-03-16
3000004,100045,200052,OUTFLOW,7129.4,2024-09-18
3000005,100035,200088,OUTFLOW,10297.97,2026-07-22
3000006,100063,200026,OUTFLOW,3305.41,2025-05-24
3000007,100013,200100,INFLOW,2713.36,2026-03-31
3000008,100091,200095,INFLOW,6800.26,2025-04-21
3000009,100035,200017,OUTFLOW,6888.05,2025-11-29
3000010,100068,200018,INFLOW,8380.46,2024-11-28
3000011,100097,200067,OUTFLOW,14447.56,2026-01-25
3000012,100055,200089,OUTFLOW,7153.61,2025-06-28
3000013,100019,200056,OUTFLOW,3706.87,2025-07-28
3000014,100093,200041,INFLOW,14122.78,2026-02-22
3000015,100092,200066,OUTFLOW,6284.4,2025-03-25
3000016,100022,200045,INFLOW,11910.69,2025-09-12
3000017,100088,200036,OUTFLOW,1503.69,2025-09-07
3000018,100061,200057,INFLOW,1004.59,2025-07-28
3000019,100014,200046,INFLOW,10818.08,2025-01-27
3000020,100083,200035,OUTFLOW,6686.65,2025-11-05
3000021,100048,200023,INFLOW,6209.24,2026-04-20
3000022,100011,200084,OUTFLOW,5268.6,2024-09-07
3000023,100018,200001,INFLOW,6762.75,2025-02-03
3000024,100023,200027,INFLOW,5946.24,2025-08-22
3000025,100017,200074,INFLOW,6672.0,2025-11-04
3000026,100027,200050,OUTFLOW,1709.57,2025-03-12
3000027,100085,200021,OUTFLOW,11235.91,2026-05-07
3000028,100041,200076,INFLOW,12288.69,2026-02-20
3000029,100078,200073,INFLOW,6122.56,2026-08-10
3000030,100040,200022,INFLOW,1070.56,2025-11-24
3000031,100026,200087,INFLOW,7914.03,2024-08-16
3000032,100078,200050,OUTFLOW,14147.77,2024-10-23
3000033,100036,200074,OUTFLOW,5353.46,2025-08-29
3000034,100063,200042,OUTFLOW,7582.61,2026-06-02
3000035,100023,200032,INFLOW,11809.33,2025-04-21
3000036,100062,200005,INFLOW,7894.05,2026-01-29
3000037,100011,200001,INFLOW,14031.59,2025-08-30
3000038,100040,200085,INFLOW,13539.55,2026-04-08
3000039,100001,200072,INFLOW,10213.47,2025-11-02
3000040,100097,200011,INFLOW,8904.15,2025-08-13
