Table_Name,Table_Description,Column_Name,Column_Datatype,Column_Constraint_Type,Column_Constraint_Condition,Column_Description,Column_Original_Precision,Column_Type,Foreign_Keys,Notes
RAW_SOURCE_EMPL_PERS,Employee personal data,EMPL_PERS_EID,NUMBER,PRIMARY KEY,,Unique Employee ID,,Table Column,,
RAW_SOURCE_EMPL_PERS,Employee personal data,EMPL_PERS_FNM,VARCHAR,NOT NULL,,First Name,,Table Column,,
RAW_SOURCE_EMPL_PERS,Employee personal data,EMPL_PERS_LNM,VARCHAR,NOT NULL,,Last Name,,Table Column,,
RAW_SOURCE_EMPL_PERS,Employee personal data,EMPL_PERS_DOB,DATE,NOT NULL,,Date of Birth,,Table Column,,
RAW_SOURCE_EMPL_PERS,Employee personal data,EMPL_PERS_GENCD,VARCHAR,,,Gender Code,,Table Column,,
RAW_SOURCE_EMPL_PERS,Employee personal data,EMPL_PERS_EMAILP,VARCHAR,,,Personal Email,,Table Column,,
RAW_SOURCE_EMPL_PERS,Employee personal data,EMPL_PERS_EMAILW,VARCHAR,NOT NULL,,Work Email,,Table Column,,
RAW_SOURCE_EMPL_PERS,Employee personal data,EMPL_PERS_MOBP,VARCHAR,NOT NULL,,Personal Mobile,,Table Column,,
RAW_SOURCE_EMPL_PERS,Employee personal data,EMPL_PERS_MOBW,VARCHAR,NOT NULL,,Work Mobile,,Table Column,,
RAW_SOURCE_EMPL_ADDR,Employee Address Data,EMPL_ADDR_EID,NUMBER,PRIMARY KEY,,Employee Address Link Identifier,,Table Column,RAW_SOURCE_EMPL_PERS.EMPL_PERS_EID,
RAW_SOURCE_EMPL_ADDR,Employee Address Data,EMPL_ADDR_LN1,VARCHAR,NOT NULL,,Address Line 1,,Table Column,,
RAW_SOURCE_EMPL_ADDR,Employee Address Data,EMPL_ADDR_LN2,VARCHAR,,,Address Line 2,,Table Column,,
RAW_SOURCE_EMPL_ADDR,Employee Address Data,EMPL_ADDR_SUBRB,VARCHAR,NOT NULL,,Suburb,,Table Column,,
RAW_SOURCE_EMPL_ADDR,Employee Address Data,EMPL_ADDR_CITY,VARCHAR,NOT NULL,,City,,Table Column,,
RAW_SOURCE_EMPL_ADDR,Employee Address Data,EMPL_ADDR_STATECD,VARCHAR,NOT NULL,,State Code,,Table Column,,
RAW_SOURCE_EMPL_ADDR,Employee Address Data,EMPL_ADDR_POSTCD,VARCHAR,NOT NULL,,Postal Code,,Table Column,,
RAW_SOURCE_EMPL_ADDR,Employee Address Data,EMPL_ADDR_CNTRYCD,VARCHAR,NOT NULL,,Country Code,,Table Column,,
RAW_SOURCE_EMPL_ADDR,Employee Address Data,EMPL_ADDR_RESFLG,VARCHAR,NOT NULL,,Residential Flag,,Table Column,,
RAW_SOURCE_EMPL_ADDR,Employee Address Data,EMPL_ADDR_BUSNFLG,VARCHAR,NOT NULL,,Business Flag,,Table Column,,
RAW_SOURCE_EMPL_ACC,Employee Account Mapping,EMPL_ACC_EAID,NUMBER,PRIMARY KEY,,Employee Account ID,,Table Column,,
RAW_SOURCE_EMPL_ACC,Employee Account Mapping,EMPL_ACC_EID,NUMBER,FOREIGN KEY,,Associated Employee ID,,Table Column,RAW_SOURCE_EMPL_PERS.EMPL_PERS_EID,
RAW_SOURCE_EMPL_ACC,Employee Account Mapping,EMPL_ACC_JONDAT,DATE,NOT NULL,,Joining Date,,Table Column,,
RAW_SOURCE_EMPL_ACC,Employee Account Mapping,EMPL_ACC_CRDAT,TIMESTAMP_NTZ,NOT NULL,,Record Creation Date,,Table Column,,
RAW_SOURCE_EMPL_ACC,Employee Account Mapping,EMPL_ACC_TDAT,DATE,,,Termination Date,,Table Column,,
RAW_SOURCE_EMPL_ACC,Employee Account Mapping,EMPL_ACC_STA,VARCHAR,NOT NULL,,Account Status,,Table Column,,
RAW_SOURCE_EMPL_ACC,Employee Account Mapping,EMPL_ACC_TYPE,VARCHAR,NOT NULL,,Account Type,,Table Column,,
RAW_SOURCE_EMPL_CAR,Employee Career Path,EMPL_CAR_EAID,NUMBER,PRIMARY KEY,,Employee Career ID,,Table Column,RAW_SOURCE_EMPL_PERS.EMPL_PERS_EID,
RAW_SOURCE_EMPL_CAR,Employee Career Path,EMPL_CAR_ROLE,VARCHAR,NOT NULL,,Designation Role,,Table Column,,
RAW_SOURCE_EMPL_CAR,Employee Career Path,EMPL_CAR_STDAT,DATE,NOT NULL,,Start Date,,Table Column,,
RAW_SOURCE_EMPL_CAR,Employee Career Path,EMPL_CAR_RELSTDAT,DATE,,,Release Start Date,,Table Column,,
RAW_SOURCE_EMPL_CAR,Employee Career Path,EMPL_CAR_TRNFLG,VARCHAR,NOT NULL,,Training Flag,,Table Column,,
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_CID,NUMBER,PRIMARY KEY,,Client Corporate Identifier,,Table Column,,
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_RNAME,VARCHAR,NOT NULL,,Registered Corporate Name,,Table Column,,
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_ABN,VARCHAR,NOT NULL,,Australian Business Number,,Table Column,,
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_IND,VARCHAR,NOT NULL,,Industry Sector,,Table Column,,
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_PORT,VARCHAR,NOT NULL,,Portfolio Stream,,Table Column,,
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_EMAIL,VARCHAR,NOT NULL,,Main Account Email,,Table Column,,
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_MOB,VARCHAR,NOT NULL,,Mobile Phone,,Table Column,,
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_WEBSITE,VARCHAR,,,Website URL,,Table Column,,
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_ADDRLN1,VARCHAR,NOT NULL,,Office Address Line 1,,Table Column,,
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_ADDRLN2,VARCHAR,,,Office Address Line 2,,Table Column,,
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_SUBRB,VARCHAR,NOT NULL,,Office Suburb,,Table Column,,
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_CITY,VARCHAR,NOT NULL,,Office City,,Table Column,,
